id|nombre_completo|tipo_documento|numero_documento|tipo_telefono|telefono_contacto|correo_electronico|direccion|tipo_solicitud|fecha_radicacion|canal_recepcion|asunto_titulo|descripcion_detallada|tipo_mascota|campus_relacionado|fecha_maxima_respuesta|estado_peticion|usuario_registro
59|Iván Sofía Montoya Vélez|CC|1020073374|Fijo|3086591860|ivan.velez59@gmail.com|Diagonal 52 #47-52|Reclamo|2026-09-25 13:34:08|Presencial|Reclamo por cancelación de cita|Mi cita para mi gato fue cancelada sin previo aviso y no fui reprogramado, por lo cual presento este reclamo.|Gato|Campus Medellín - Edificio San Ignacio|2026-10-25 13:34:08|Solucionada|rquintero_udea
60|Catalina David Muñoz Arboleda|TI|1003047583|Otro|3134503157|catalina.arboleda60@hotmail.com|Calle 50 #56-58|Reclamo|2026-02-20 09:23:27|Otro|Reclamo por diagnóstico erróneo|Considero que el diagnóstico entregado inicialmente no correspondía a la condición real de mi gato.|Gato|Campus Medellín - Edificio Antioquia|2026-03-22 09:23:27|En proceso|admin_udea
61|Paula Antonia Restrepo Gómez|PP|1046954397|Celular|3243567011|paula.gomez61@udea.edu.co|Transversal 27 #86-15|Reclamo|2026-03-12 09:09:33|Redes sociales|Reclamo por demora en entrega de resultados|Los resultados de los exámenes practicados a mi gato tardaron más de lo informado inicialmente.|Gato|Campus Medellín - Sede de Posgrado|2026-04-11 09:09:33|En proceso|mtorres_udea
62|Camila Giraldo Ceballos|TI|1003955818|Corporativo|3086857575|camila.ceballos62@hotmail.com|Carrera 101 #1-4|Reclamo|2026-03-06 11:12:55|Página web|Reclamo por pérdida de historia clínica|La historia clínica de mi otro no fue encontrada en el sistema al momento de mi última visita.|Otro|Campus Medellín - Ciudadela Robledo|2026-04-05 11:12:55|Solucionada|admin_udea
63|Carlos Camila Arboleda Escobar|CE|1010218558|Corporativo|3108688656|carlos.escobar63@gmail.com|Carrera 6 #67-75|Reclamo|2026-04-28 08:29:56|Otro|Reclamo por cancelación de cita|Mi cita para mi otro fue cancelada sin previo aviso y no fui reprogramado, por lo cual presento este reclamo.|Otro|Campus Medellín - Casas Patrimoniales|2026-05-28 08:29:56|Solucionada|scardenas_udea
64|Alejandra Fernanda Rodríguez Cadavid|CE|1093904865|Celular|3049381035|alejandra.cadavid64@outlook.com|Carrera 14 #75-64|Reclamo|2026-03-21 15:38:19|Redes sociales|Reclamo por diagnóstico erróneo|Considero que el diagnóstico entregado inicialmente no correspondía a la condición real de mi perro.|Perro|Campus en el Área de la salud|2026-04-20 15:38:19|En proceso|jgomez_udea
65|Felipe Sofía Bedoya Duque|TI|1064126387|Corporativo|3027523467|felipe.duque65@hotmail.com|Avenida 57 #90-80|Reclamo|2026-07-12 13:07:00|Correo electrónico|Reclamo por pérdida de historia clínica|La historia clínica de mi gato no fue encontrada en el sistema al momento de mi última visita.|Gato|Campus Medellín - Ciudadela Robledo|2026-08-11 13:07:00|Registrada|mtorres_udea
66|Ricardo Camila Giraldo Osorio|CC|1005750787|Fijo|3028407382|ricardo.osorio66@hotmail.com|Diagonal 21 #83-94|Reclamo|2026-02-06 14:18:29|Teléfono|Reclamo por demora en entrega de resultados|Los resultados de los exámenes practicados a mi gato tardaron más de lo informado inicialmente.|Gato|Campus Medellín - Edificio de Extensión|2026-03-08 14:18:29|En proceso|jgomez_udea
67|Santiago David Betancourt Betancourt|CC|1038484601|Corporativo|3174498901|santiago.betancourt67@udea.edu.co|Avenida 81 #62-4|Reclamo|2026-05-08 12:13:39|Otro|Reclamo por demora en entrega de resultados|Los resultados de los exámenes practicados a mi perro tardaron más de lo informado inicialmente.|Perro|Campus Medellín - Sede de Posgrado|2026-06-07 12:13:39|Solucionada|cparra_udea
68|Gabriela David Montoya Castaño|PP|1087307307|Corporativo|3062140372|gabriela.castano68@correo.com|Calle 56 #32-58|Reclamo|2026-07-13 11:12:12|Página web|Reclamo por cobro indebido|Reclamo por un cobro que considero indebido en la atención veterinaria prestada a mi perro.|Perro|Campus Medellín - Ciudad Universitaria|2026-08-12 11:12:12|En proceso|apineda_udea
69|María Ortiz Escobar|CC|1084005333|Otro|3149367203|maria.escobar69@udea.edu.co|Carrera 31 #10-46|Reclamo|2026-01-23 13:45:10|Redes sociales|Reclamo por cobro indebido|Reclamo por un cobro que considero indebido en la atención veterinaria prestada a mi perro.|Perro|Campus en el Área de la salud|2026-02-22 13:45:10|Registrada|jbedoya_udea
70|María Esteban Bedoya Zuluaga|CE|1084387117|Corporativo|3014483365|maria.zuluaga70@outlook.com|Avenida 85 #93-40|Reclamo|2026-01-11 09:03:57|Teléfono|Reclamo por diagnóstico erróneo|Considero que el diagnóstico entregado inicialmente no correspondía a la condición real de mi otro.|Otro|Campus Medellín - Edificio Antioquia|2026-02-10 09:03:57|Registrada|apineda_udea
71|Jorge Andrés Aristizábal Cadavid|CC|1033850602|Corporativo|3043855200|jorge.cadavid71@outlook.com|N/A|Reclamo|2026-03-18 10:16:46|Página web|Reclamo por pérdida de historia clínica|La historia clínica de mi otro no fue encontrada en el sistema al momento de mi última visita.|Otro|Campus Medellín - Sede de Posgrado|2026-04-17 10:16:46|Solucionada|lrestrepo_udea
