id|nombre_completo|tipo_documento|numero_documento|tipo_telefono|telefono_contacto|correo_electronico|direccion|tipo_solicitud|fecha_radicacion|canal_recepcion|asunto_titulo|descripcion_detallada|tipo_mascota|campus_relacionado|fecha_maxima_respuesta|estado_peticion|usuario_registro
46|Sebastián Antonia Cano Pérez|PP|1018343495|Corporativo|3143594910|sebastian.perez46@hotmail.com|Calle 11 #57-17|Sugerencia|2026-06-02 13:15:02|Redes sociales|Sugerencia de ampliar horario|Sugiero ampliar el horario de atención los fines de semana para facilitar el acceso al servicio para casos como el de mi perro.|Perro|Campus en el Área de la salud|2026-07-02 13:15:02|Registrada|scardenas_udea
47|Melissa Alejandro Sánchez Escobar|TI|1023553964|Fijo|3015875823|melissa.escobar47@outlook.com|Avenida 107 #25-69|Sugerencia|2026-07-15 07:10:02|Otro|Sugerencia de recordatorios|Propongo enviar recordatorios por correo o mensaje de texto antes de las citas programadas.|Otro|Campus Medellín - Edificio de Extensión|2026-08-14 07:10:02|Registrada|rquintero_udea
48|Adriana Antonia Jaramillo Salazar|CE|1012799002|Celular|3116531249|adriana.salazar48@hotmail.com|Carrera 3 #5-36|Sugerencia|2026-01-27 17:34:51|Otro|Sugerencia de sala de espera diferenciada|Propongo habilitar una sala de espera diferenciada para perros y gatos, ya que mi perro se estresó durante la espera.|Perro|Campus Medellín - Antigua Escuela de Derecho|2026-02-26 17:34:51|En proceso|mvelez_udea
49|Emmanuel José Zuluaga Palacio|TI|1056732419|Celular|3267721855|emmanuel.palacio49@gmail.com|Diagonal 39 #2-90|Sugerencia|2026-02-18 17:38:49|Presencial|Sugerencia de canal de agendamiento|Sería útil contar con un canal de agendamiento en línea para las citas del hospital veterinario.|Gato|Campus Medellín - Antigua Escuela de Derecho|2026-03-20 17:38:49|Solucionada|jgomez_udea
50|Juan José Gutiérrez Muñoz|PP|1025988710|Otro|3057552611|juan.munoz50@gmail.com|Diagonal 3 #17-19|Sugerencia|2026-06-26 10:13:30|Redes sociales|Sugerencia de ampliar horario|Sugiero ampliar el horario de atención los fines de semana para facilitar el acceso al servicio para casos como el de mi otro.|Otro|Campus Medellín - Antigua Escuela de Derecho|2026-07-26 10:13:30|Solucionada|jgomez_udea
51|Natalia Valentina Gómez Escobar|PP|1044828188|Otro|3105823171|natalia.escobar51@gmail.com|Diagonal 59 #65-79|Sugerencia|2026-02-20 08:50:23|Redes sociales|Sugerencia de canal de agendamiento|Sería útil contar con un canal de agendamiento en línea para las citas del hospital veterinario.|Otro|Campus Medellín - Sede de Posgrado|2026-03-22 08:50:23|Registrada|mtorres_udea
52|Luisa Sofía Builes Rodríguez|TI|1050356634|Celular|3165492217|luisa.rodriguez52@udea.edu.co|Avenida 76 #64-90|Sugerencia|2026-04-19 14:24:42|Otro|Sugerencia de sala de espera diferenciada|Propongo habilitar una sala de espera diferenciada para perros y gatos, ya que mi perro se estresó durante la espera.|Perro|Campus Medellín - Edificio San Ignacio|2026-05-19 14:24:42|Registrada|admin_udea
53|Juan Esteban Serna Palacio|TI|1031276170|Fijo|3121020931|juan.palacio53@outlook.com|Diagonal 22 #98-82|Sugerencia|2026-03-06 12:57:27|Teléfono|Sugerencia de jornadas de vacunación|Sugiero realizar jornadas periódicas de vacunación gratuita en los distintos campus.|Perro|Campus Medellín - Antigua Escuela de Derecho|2026-04-05 12:57:27|Solucionada|rquintero_udea
54|Jorge Antonia Vélez Osorio|TI|1033986347|Fijo|3243456283|jorge.osorio54@outlook.com|Diagonal 14 #40-41|Sugerencia|2026-05-17 17:19:10|Presencial|Sugerencia de jornadas de vacunación|Sugiero realizar jornadas periódicas de vacunación gratuita en los distintos campus.|Gato|Campus Medellín - Antigua Escuela de Derecho|2026-06-16 17:19:10|Solucionada|admin_udea
55|Esteban Valentina Montoya Muñoz|PP|1019057773|Otro|3144319837|esteban.munoz55@correo.com|Calle 87 #48-60|Sugerencia|2026-07-20 16:01:35|Página web|Sugerencia de jornadas de vacunación|Sugiero realizar jornadas periódicas de vacunación gratuita en los distintos campus.|Otro|Campus Medellín - Antigua Escuela de Derecho|2026-08-19 16:01:35|En proceso|lrestrepo_udea
56|David Esteban Bedoya López|CC|1053150188|Celular|3214589740|david.lopez56@udea.edu.co|Avenida 86 #76-53|Sugerencia|2026-03-12 11:31:39|Teléfono|Sugerencia de ampliar horario|Sugiero ampliar el horario de atención los fines de semana para facilitar el acceso al servicio para casos como el de mi perro.|Perro|Campus Medellín - Casas Patrimoniales|2026-04-11 11:31:39|Registrada|mvelez_udea
57|Rodrigo Valentina Villa Restrepo|CC|1079257716|Fijo|3111124249|rodrigo.restrepo57@correo.com|Carrera 41 #9-57|Sugerencia|2026-09-04 17:56:14|Otro|Sugerencia de ampliar horario|Sugiero ampliar el horario de atención los fines de semana para facilitar el acceso al servicio para casos como el de mi otro.|Otro|Campus Medellín - Edificio de Extensión|2026-10-04 17:56:14|En proceso|scardenas_udea
58|Vanessa Pérez Peña|CC|1019309141|Celular|3244617797|vanessa.pena58@gmail.com|Calle 2 #83-76|Sugerencia|2026-01-19 16:28:48|Presencial|Sugerencia de recordatorios|Propongo enviar recordatorios por correo o mensaje de texto antes de las citas programadas.|Perro|Campus Medellín - Casas Patrimoniales|2026-02-18 16:28:48|Solucionada|fherrera_udea
59|Santiago David Builes Ramírez|TI|1047530898|Fijo|3005285580|santiago.ramirez59@correo.com|Calle 13 #5-6|Sugerencia|2026-08-17 13:50:55|Presencial|Sugerencia de ampliar horario|Sugiero ampliar el horario de atención los fines de semana para facilitar el acceso al servicio para casos como el de mi gato.|Gato|Campus Medellín - Ciudad Universitaria|2026-09-16 13:50:55|Solucionada|apineda_udea
60|Gabriela Fernanda Zuluaga Franco|TI|1075318806|Celular|3226685292|gabriela.franco60@gmail.com|Carrera 83 #12-88|Sugerencia|2026-02-16 10:53:48|Página web|Sugerencia de recordatorios|Propongo enviar recordatorios por correo o mensaje de texto antes de las citas programadas.|Otro|Campus Medellín - Ciudadela Robledo|2026-03-18 10:53:48|Solucionada|rquintero_udea
61|Santiago Esteban Bedoya Ceballos|NIT|814762573|Fijo|3282273468|santiago.ceballos61@hotmail.com|Diagonal 48 #58-75|Sugerencia|2026-04-23 15:30:59|Presencial|Sugerencia de jornadas de vacunación|Sugiero realizar jornadas periódicas de vacunación gratuita en los distintos campus.|Perro|Campus Medellín - Edificio Antioquia|2026-05-23 15:30:59|Registrada|apineda_udea
62|Carlos Sofía Cárdenas Ramírez|PP|1065806450|Fijo|3298126510|carlos.ramirez62@udea.edu.co|Calle 50 #59-57|Sugerencia|2026-01-08 13:17:26|Página web|Sugerencia de sala de espera diferenciada|Propongo habilitar una sala de espera diferenciada para perros y gatos, ya que mi perro se estresó durante la espera.|Perro|Campus Medellín - Sede de Posgrado|2026-02-07 13:17:26|Registrada|lrestrepo_udea
63|Diego Antonia López Vélez|PP|1035981081|Fijo|3117192569|diego.velez63@hotmail.com|Carrera 107 #12-84|Sugerencia|2026-05-22 12:39:22|Página web|Sugerencia de sala de espera diferenciada|Propongo habilitar una sala de espera diferenciada para perros y gatos, ya que mi perro se estresó durante la espera.|Perro|Campus en el Área de la salud|2026-06-21 12:39:22|Solucionada|dgiraldo_udea
64|Rodrigo Sofía Ospina Zapata|TI|1093888503|Corporativo|3242443996|rodrigo.zapata64@gmail.com|Diagonal 79 #87-67|Sugerencia|2026-04-19 09:51:25|Presencial|Sugerencia de canal de agendamiento|Sería útil contar con un canal de agendamiento en línea para las citas del hospital veterinario.|Perro|Campus en el Área de la salud|2026-05-19 09:51:25|Registrada|admin_udea
65|Sebastián David Ceballos Ocampo|CC|1009081766|Corporativo|3105001591|sebastian.ocampo65@hotmail.com|Transversal 33 #94-78|Sugerencia|2026-05-24 12:30:30|Otro|Sugerencia de canal de agendamiento|Sería útil contar con un canal de agendamiento en línea para las citas del hospital veterinario.|Perro|Campus Medellín - Ciudad Universitaria|2026-06-23 12:30:30|Solucionada|fherrera_udea
66|Óscar Alejandro Villa Gómez|NIT|800795305|Fijo|3229671269|oscar.gomez66@correo.com|N/A|Sugerencia|2026-08-21 15:33:26|Otro|Sugerencia de canal de agendamiento|Sería útil contar con un canal de agendamiento en línea para las citas del hospital veterinario.|Perro|Campus en el Área de la salud|2026-09-20 15:33:26|Solucionada|jbedoya_udea
67|Luisa David Zapata Ríos|NIT|807332681|Fijo|3228980689|luisa.rios67@hotmail.com|Carrera 39 #4-78|Sugerencia|2026-05-03 10:52:47|Redes sociales|Sugerencia de sala de espera diferenciada|Propongo habilitar una sala de espera diferenciada para perros y gatos, ya que mi perro se estresó durante la espera.|Perro|Campus Medellín - Edificio Antioquia|2026-06-02 10:52:47|Solucionada|mvelez_udea
68|Gabriela Valentina Mejía Palacio|CE|1023473847|Fijo|3254005182|gabriela.palacio68@hotmail.com|N/A|Sugerencia|2026-01-10 08:33:59|Otro|Sugerencia de recordatorios|Propongo enviar recordatorios por correo o mensaje de texto antes de las citas programadas.|Perro|Campus Medellín - Ciudadela Robledo|2026-02-09 08:33:59|Solucionada|rquintero_udea
69|Julián Sofía Villa Gutiérrez|CC|1011939978|Otro|3145963187|julian.gutierrez69@correo.com|Transversal 114 #87-83|Sugerencia|2026-07-14 13:50:35|Redes sociales|Sugerencia de jornadas de vacunación|Sugiero realizar jornadas periódicas de vacunación gratuita en los distintos campus.|Perro|Campus en el Área de la salud|2026-08-13 13:50:35|Solucionada|rquintero_udea
70|Vanessa Esteban Ocampo Correa|TI|1000989784|Otro|3226451776|vanessa.correa70@outlook.com|Transversal 48 #55-23|Sugerencia|2026-02-06 08:21:55|Teléfono|Sugerencia de recordatorios|Propongo enviar recordatorios por correo o mensaje de texto antes de las citas programadas.|Otro|Campus Medellín - Antigua Escuela de Derecho|2026-03-08 08:21:55|Registrada|mtorres_udea
71|Fernando David Cano Peña|CC|1013969028|Fijo|3124803172|fernando.pena71@outlook.com|Avenida 118 #89-93|Sugerencia|2026-09-23 13:23:58|Página web|Sugerencia de canal de agendamiento|Sería útil contar con un canal de agendamiento en línea para las citas del hospital veterinario.|Gato|Campus Medellín - Edificio San Ignacio|2026-10-23 13:23:58|Solucionada|jgomez_udea
