id|nombre_completo|tipo_documento|numero_documento|tipo_telefono|telefono_contacto|correo_electronico|direccion|tipo_solicitud|fecha_radicacion|canal_recepcion|asunto_titulo|descripcion_detallada|tipo_mascota|campus_relacionado|fecha_maxima_respuesta|estado_peticion|usuario_registro
47|Juan Uribe Franco|TI|1025105969|Celular|3058186489|juan.franco47@gmail.com|Transversal 9 #73-91|Queja|2026-07-25 13:25:09|Correo electrónico|Queja por falta de insumos|Presento queja porque no había insumos disponibles para la atención de mi perro el día de la visita.|Perro|Campus Medellín - Casas Patrimoniales|2026-08-24 13:25:09|En proceso|rquintero_udea
48|Catalina Camila Restrepo Uribe|CE|1076796355|Fijo|3255588857|catalina.uribe48@gmail.com|Calle 55 #92-30|Queja|2026-01-19 12:31:48|Presencial|Queja por incumplimiento de cita|La cita programada para mi gato no fue atendida en el horario acordado sin previa notificación.|Gato|Campus Medellín - Sede de Posgrado|2026-02-18 12:31:48|En proceso|lrestrepo_udea
49|Manuela Torres Giraldo|PP|1093914640|Celular|3267610216|manuela.giraldo49@correo.com|Avenida 55 #88-56|Queja|2026-06-11 14:03:42|Redes sociales|Queja por falta de insumos|Presento queja porque no había insumos disponibles para la atención de mi gato el día de la visita.|Gato|Campus Medellín - Antigua Escuela de Derecho|2026-07-11 14:03:42|Solucionada|rquintero_udea
50|Andrés Esteban Sánchez Herrera|CE|1082659953|Celular|3022651417|andres.herrera50@outlook.com|Calle 18 #55-8|Queja|2026-04-02 13:07:19|Otro|Queja por información contradictoria|Recibí información contradictoria sobre el procedimiento a seguir con mi otro en dos visitas distintas.|Otro|Campus Medellín - Sede de Posgrado|2026-05-02 13:07:19|En proceso|rquintero_udea
51|Óscar Álvarez Londoño|TI|1099990289|Corporativo|3132645990|oscar.londono51@correo.com|Calle 87 #50-56|Queja|2026-06-27 08:21:30|Teléfono|Queja por falta de insumos|Presento queja porque no había insumos disponibles para la atención de mi gato el día de la visita.|Gato|Campus Medellín - Edificio Antioquia|2026-07-27 08:21:30|Registrada|admin_udea
52|Miguel David Restrepo López|NIT|801914716|Fijo|3027012202|miguel.lopez52@udea.edu.co|Carrera 97 #66-81|Queja|2026-07-22 16:22:32|Otro|Queja por trato del personal|Quiero manifestar mi inconformidad con el trato recibido por parte de uno de los funcionarios durante la atención de mi perro.|Perro|Campus Medellín - Edificio de Extensión|2026-08-21 16:22:32|En proceso|scardenas_udea
53|Paula Valentina López Uribe|NIT|878312827|Corporativo|3252762072|paula.uribe53@udea.edu.co|Diagonal 71 #85-37|Queja|2026-02-11 16:09:28|Redes sociales|Queja por demora en la atención|Deseo presentar una queja por el largo tiempo de espera que tuve para ser atendido con mi gato en el campus.|Gato|Campus Medellín - Antigua Escuela de Derecho|2026-03-13 16:09:28|Registrada|jbedoya_udea
54|Gabriela José Montoya Ramírez|TI|1084075211|Otro|3048289940|gabriela.ramirez54@udea.edu.co|N/A|Queja|2026-06-28 14:03:54|Presencial|Queja por trato del personal|Quiero manifestar mi inconformidad con el trato recibido por parte de uno de los funcionarios durante la atención de mi gato.|Gato|Campus Medellín - Ciudadela Robledo|2026-07-28 14:03:54|En proceso|jbedoya_udea
55|Andrés Camila Salazar Quintero|NIT|873529632|Fijo|3011200475|andres.quintero55@correo.com|Calle 118 #10-36|Queja|2026-01-27 10:10:18|Página web|Queja por demora en la atención|Deseo presentar una queja por el largo tiempo de espera que tuve para ser atendido con mi otro en el campus.|Otro|Campus Medellín - Edificio San Ignacio|2026-02-26 10:10:18|Solucionada|apineda_udea
56|Daniela Alejandro Ramírez Cadavid|CC|1084950020|Otro|3109450252|daniela.cadavid56@hotmail.com|Avenida 36 #80-35|Queja|2026-02-14 17:25:26|Correo electrónico|Queja por incumplimiento de cita|La cita programada para mi otro no fue atendida en el horario acordado sin previa notificación.|Otro|Campus Medellín - Sede de Posgrado|2026-03-16 17:25:26|En proceso|apineda_udea
57|Mariana José Uribe Mejía|CE|1064527605|Celular|3213461667|mariana.mejia57@hotmail.com|Carrera 55 #29-87|Queja|2026-05-04 16:43:07|Otro|Queja por incumplimiento de cita|La cita programada para mi gato no fue atendida en el horario acordado sin previa notificación.|Gato|Campus Medellín - Sede de Posgrado|2026-06-03 16:43:07|Registrada|fherrera_udea
58|Ricardo Antonia Uribe Cárdenas|NIT|828715614|Celular|3026028263|ricardo.cardenas58@correo.com|Avenida 5 #85-88|Queja|2026-01-03 17:30:54|Página web|Queja por incumplimiento de cita|La cita programada para mi otro no fue atendida en el horario acordado sin previa notificación.|Otro|Campus Medellín - Casas Patrimoniales|2026-02-02 17:30:54|Registrada|mvelez_udea
59|Rodrigo Esteban Duque Correa|CE|1036916353|Corporativo|3024708599|rodrigo.correa59@hotmail.com|Transversal 101 #43-11|Queja|2026-08-14 16:14:21|Página web|Queja por demora en la atención|Deseo presentar una queja por el largo tiempo de espera que tuve para ser atendido con mi otro en el campus.|Otro|Campus Medellín - Ciudad Universitaria|2026-09-13 16:14:21|Registrada|jgomez_udea
60|Sebastián Fernanda Vargas Palacio|NIT|886472109|Celular|3141955362|sebastian.palacio60@outlook.com|Calle 66 #31-54|Queja|2026-08-17 13:55:25|Correo electrónico|Queja por demora en la atención|Deseo presentar una queja por el largo tiempo de espera que tuve para ser atendido con mi otro en el campus.|Otro|Campus Medellín - Edificio Antioquia|2026-09-16 13:55:25|En proceso|cparra_udea
61|David Antonia Álvarez Restrepo|CE|1090489073|Celular|3204939601|david.restrepo61@udea.edu.co|N/A|Queja|2026-03-18 13:37:45|Presencial|Queja por demora en la atención|Deseo presentar una queja por el largo tiempo de espera que tuve para ser atendido con mi gato en el campus.|Gato|Campus Medellín - Casas Patrimoniales|2026-04-17 13:37:45|Solucionada|dgiraldo_udea
62|Valeria Valentina Sánchez Zapata|CC|1012859204|Corporativo|3015505320|valeria.zapata62@correo.com|Avenida 80 #43-67|Queja|2026-06-03 09:55:02|Otro|Queja por información contradictoria|Recibí información contradictoria sobre el procedimiento a seguir con mi otro en dos visitas distintas.|Otro|Campus Medellín - Edificio San Ignacio|2026-07-03 09:55:02|Registrada|fherrera_udea
63|Valentina Fernanda Salazar Sánchez|CC|1098572531|Corporativo|3286049318|valentina.sanchez63@hotmail.com|N/A|Queja|2026-01-26 11:41:03|Presencial|Queja por demora en la atención|Deseo presentar una queja por el largo tiempo de espera que tuve para ser atendido con mi otro en el campus.|Otro|Campus Medellín - Ciudad Universitaria|2026-02-25 11:41:03|Solucionada|jgomez_udea
64|Ricardo Camila Zuluaga Torres|CE|1032085514|Otro|3097505618|ricardo.torres64@hotmail.com|Avenida 8 #98-60|Queja|2026-07-15 10:44:08|Teléfono|Queja por falta de insumos|Presento queja porque no había insumos disponibles para la atención de mi otro el día de la visita.|Otro|Campus Medellín - Edificio San Ignacio|2026-08-14 10:44:08|Solucionada|cparra_udea
65|Jorge Valentina Gutiérrez Serna|PP|1006722812|Otro|3125155090|jorge.serna65@outlook.com|Calle 3 #33-85|Queja|2026-01-10 10:15:20|Teléfono|Queja por información contradictoria|Recibí información contradictoria sobre el procedimiento a seguir con mi gato en dos visitas distintas.|Gato|Campus Medellín - Ciudadela Robledo|2026-02-09 10:15:20|Solucionada|scardenas_udea
66|Juliana Antonia Peña Vélez|CC|1071761592|Fijo|3265311934|juliana.velez66@correo.com|Diagonal 33 #68-35|Queja|2026-06-09 08:15:37|Otro|Queja por información contradictoria|Recibí información contradictoria sobre el procedimiento a seguir con mi gato en dos visitas distintas.|Gato|Campus Medellín - Sede de Posgrado|2026-07-09 08:15:37|Registrada|mtorres_udea
67|Óscar Camila Betancourt Restrepo|PP|1091365149|Celular|3074045310|oscar.restrepo67@correo.com|Calle 72 #27-27|Queja|2026-06-12 07:14:19|Teléfono|Queja por incumplimiento de cita|La cita programada para mi perro no fue atendida en el horario acordado sin previa notificación.|Perro|Campus Medellín - Edificio de Extensión|2026-07-12 07:14:19|En proceso|mtorres_udea
68|Adriana Andrés Castaño Zapata|PP|1095919662|Corporativo|3002462132|adriana.zapata68@correo.com|Carrera 10 #44-38|Queja|2026-06-05 07:51:08|Otro|Queja por trato del personal|Quiero manifestar mi inconformidad con el trato recibido por parte de uno de los funcionarios durante la atención de mi perro.|Perro|Campus Medellín - Edificio de Extensión|2026-07-05 07:51:08|Registrada|mtorres_udea
69|Catalina José Higuita Builes|CE|1028290242|Fijo|3222293439|catalina.builes69@gmail.com|Calle 31 #89-73|Queja|2026-01-16 16:43:53|Página web|Queja por trato del personal|Quiero manifestar mi inconformidad con el trato recibido por parte de uno de los funcionarios durante la atención de mi otro.|Otro|Campus Medellín - Sede de Posgrado|2026-02-15 16:43:53|Solucionada|apineda_udea
70|Esteban Sofía Jaramillo Quintero|NIT|866972786|Celular|3022861590|esteban.quintero70@udea.edu.co|Transversal 80 #55-16|Queja|2026-03-03 07:05:37|Redes sociales|Queja por incumplimiento de cita|La cita programada para mi gato no fue atendida en el horario acordado sin previa notificación.|Gato|Campus Medellín - Antigua Escuela de Derecho|2026-04-02 07:05:37|Solucionada|cparra_udea
71|Paula Valentina Duque Londoño|TI|1092027013|Corporativo|3245222456|paula.londono71@hotmail.com|Avenida 111 #29-65|Queja|2026-09-15 13:43:14|Página web|Queja por incumplimiento de cita|La cita programada para mi otro no fue atendida en el horario acordado sin previa notificación.|Otro|Campus Medellín - Antigua Escuela de Derecho|2026-10-15 13:43:14|Registrada|rquintero_udea
72|Paula Esteban Palacio Builes|PP|1005370087|Otro|3142487989|paula.builes72@correo.com|Transversal 83 #91-86|Queja|2026-08-22 09:13:11|Página web|Queja por información contradictoria|Recibí información contradictoria sobre el procedimiento a seguir con mi gato en dos visitas distintas.|Gato|Campus Medellín - Antigua Escuela de Derecho|2026-09-21 09:13:11|Solucionada|cparra_udea
73|Melissa Herrera Salazar|TI|1080480815|Celular|3089566654|melissa.salazar73@hotmail.com|Transversal 56 #40-55|Queja|2026-09-11 13:04:06|Página web|Queja por falta de insumos|Presento queja porque no había insumos disponibles para la atención de mi gato el día de la visita.|Gato|Campus en el Área de la salud|2026-10-11 13:04:06|Registrada|rquintero_udea
74|Camila Andrés Mejía Betancourt|CC|1095005459|Otro|3105763906|camila.betancourt74@hotmail.com|Carrera 29 #32-15|Queja|2026-07-23 07:20:17|Teléfono|Queja por falta de insumos|Presento queja porque no había insumos disponibles para la atención de mi perro el día de la visita.|Perro|Campus en el Área de la salud|2026-08-22 07:20:17|Registrada|fherrera_udea
